name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
melbourne,2023-01-07,85.6,55.3,70.7,83.5,55.3,70.2,52.4,57,0,0,0,,0,0,18.3,10.4,104.3,1012.7,2,11.9,346,29.9,10,10,2023-01-07T06:06:30,2023-01-07T20:45:33,0.5,Clear,Clear conditions throughout the day.,clear-day,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
melbourne,2023-01-08,88.6,58.2,74.3,85.8,58.2,73.4,52.7,52.3,0,0,0,,0,0,17,8.2,175.2,1011.1,5.6,11.4,343.8,29.8,10,10,2023-01-08T06:07:25,2023-01-08T20:45:28,0.54,Clear,Clear conditions throughout the day.,clear-day,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
melbourne,2023-01-09,77.7,64.8,69.7,77.7,64.8,69.7,57.2,65.4,0,0,0,,0,0,31.3,11.6,191.3,1012.4,30.6,11,294.6,25.5,8,10,2023-01-09T06:08:22,2023-01-09T20:45:22,0.57,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
melbourne,2023-01-10,71.3,62.2,66.3,71.3,62.2,66.3,55.8,69.3,0,0,0,,0,0,29.5,11.7,185.4,1014.4,55,9.4,254.1,21.9,9,10,2023-01-10T06:09:19,2023-01-10T20:45:13,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
melbourne,2023-01-11,85.2,59.1,72.2,85.8,59.1,72.5,60.9,70.2,0,0,0,,0,0,22.1,9.5,234.7,1010.1,18.2,9.9,323.2,27.9,10,10,2023-01-11T06:10:18,2023-01-11T20:45:02,0.64,Clear,Clear conditions throughout the day.,clear-day,"94898099999,95874099999,94866099999,95867099999,95936099999,95866099999,94865099999,F0862,94864099999"
melbourne,2023-01-12,75,65.2,69,75,65.2,69,63.4,82.7,0,0,0,,0,0,25.3,9.7,208.4,1013.5,62.8,8.4,262.1,22.6,10,10,2023-01-12T06:11:17,2023-01-12T20:44:49,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999,94870099999"
melbourne,2023-01-13,75.8,65.9,70.4,75.8,65.9,70.4,63.5,79.3,0,0,0,,0,0,26.6,10.5,200.8,1015.7,66.3,9,242,20.8,9,10,2023-01-13T06:12:18,2023-01-13T20:44:34,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"94898099999,95874099999,94866099999,95867099999,95936099999,95866099999,94865099999,F0862,94864099999"
melbourne,2023-01-14,98.8,68.4,81.3,94.6,68.4,80.3,60.2,59.2,0,0,0,,0,0,30.9,15.9,333.7,1009.8,36.3,9,328.2,28.6,10,10,2023-01-14T06:13:19,2023-01-14T20:44:16,0.74,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
melbourne,2023-01-15,73.8,60.2,66.6,73.8,60.2,66.6,54.8,66.5,0.001,100,4.17,rain,0,0,33.8,11.6,190,1017.1,60.3,8.9,187.1,16.2,7,10,2023-01-15T06:14:21,2023-01-15T20:43:57,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"95874099999,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
melbourne,2023-01-16,80.8,59.1,68.7,81.5,59.1,68.7,56.4,65.9,0,0,0,,0,0,21.7,8.4,185.1,1018,66,10,237,20.3,8,10,2023-01-16T06:15:24,2023-01-16T20:43:36,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,D6954,94866099999,95936099999,95866099999,94865099999,F0862,94864099999"
melbourne,2023-01-17,96.9,68,80.9,96.4,68,80.9,62,57.5,0.138,100,4.17,rain,0,0,30.4,13.8,345.6,1012.8,46.8,10.9,306.3,26.3,10,10,2023-01-17T06:16:27,2023-01-17T20:43:13,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"95874099999,D6954,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2023-01-18,72.4,59.7,65.3,72.4,59.7,65.3,59.4,82.3,0.228,100,16.67,rain,0,0,30.2,11.8,199.5,1012,98.1,6.5,41.3,3.7,2,10,2023-01-18T06:17:32,2023-01-18T20:42:47,0.87,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"95874099999,D6954,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2023-01-19,65.7,58.2,61.4,65.7,58.2,61.4,44.2,53.5,0,0,0,rain,0,0,31.8,12.4,175.6,1016.3,88.9,10.3,251,21.7,9,10,2023-01-19T06:18:36,2023-01-19T20:42:20,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,D6954,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2023-01-20,69.3,37.3,63,69.3,24,62.4,47.9,58.2,0,0,0,,0,0,25.3,34.4,192,1016.9,36.2,10.6,343.9,29.5,10,10,2023-01-20T06:19:42,2023-01-20T20:41:51,0.94,Partially cloudy,Clearing in the afternoon.,wind,"95874099999,D6954,94866099999,95936099999,6CV53CK,95866099999,94865099999,94864099999"
melbourne,2023-01-21,72.9,56.8,65.5,72.9,56.8,65.5,56.8,74.4,0,0,0,,0,0,25.7,11,208.3,1014.8,73.1,10.6,319.5,27.5,10,10,2023-01-21T06:20:48,2023-01-21T20:41:19,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"95874099999,D6954,94866099999,95936099999,95866099999,94865099999,94864099999"
melbourne,2023-01-22,73.6,62.7,68.2,73.6,62.7,68.2,60.7,77.8,0,0,0,,0,0,28.4,12.7,185.7,1015.7,56.7,9.9,296.6,25.6,10,10,2023-01-22T06:21:54,2023-01-22T20:40:46,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YMAV,95874099999,D6954,94866099999,95936099999,95866099999,94865099999,YMML,94864099999"
